"time","symbol","CCI"
2020-06-03,"baba",93.8031
2020-06-02,"baba",72.5762
2020-06-01,"baba",46.7695
2020-05-29,"baba",39.1437
2020-05-28,"baba",21.9933
2020-05-27,"baba",24.661
2020-05-26,"baba",37.2182
2020-05-22,"baba",29.5899
2020-05-21,"baba",74.8691
2020-05-20,"baba",92.1878
2020-05-19,"baba",98.9721
2020-05-18,"baba",83.8837
2020-05-15,"baba",40.4794
2020-05-14,"baba",25.9763
2020-05-13,"baba",33.087
2020-05-12,"baba",41.8341
2020-05-11,"baba",50.3286
2020-05-08,"baba",35.4982
2020-05-07,"baba",17.9135
2020-05-06,"baba",17.7814
2020-05-05,"baba",16.1614
2020-05-04,"baba",0.9965
2020-05-01,"baba",13.1957
2020-04-30,"baba",44.7763
2020-04-29,"baba",55.233
2020-04-28,"baba",42.1155
2020-04-27,"baba",52.7328
2020-04-24,"baba",53.6005
2020-04-23,"baba",61.4645
2020-04-22,"baba",77.5981
2020-04-21,"baba",69.8549
2020-04-20,"baba",87.663
2020-04-17,"baba",83.1864
2020-04-16,"baba",86.4101
2020-04-15,"baba",65.9199
2020-04-14,"baba",64.5476
2020-04-13,"baba",36.7422
2020-04-09,"baba",30.4558
2020-04-08,"baba",29.1435
2020-04-07,"baba",39.7948
2020-04-06,"baba",26.6832
2020-04-03,"baba",-2.7422
2020-04-02,"baba",1.3561
2020-04-01,"baba",1.2517
2020-03-31,"baba",22.7962
2020-03-30,"baba",7.9485
2020-03-27,"baba",7.9212
2020-03-26,"baba",20.9338
2020-03-25,"baba",7.6339
2020-03-24,"baba",-7.5223
2020-03-23,"baba",-45.3313
2020-03-20,"baba",-14.0055
2020-03-19,"baba",-18.361
2020-03-18,"baba",-33.7427
2020-03-17,"baba",-6.9687
2020-03-16,"baba",-21.3948
2020-03-13,"baba",22.9272
2020-03-12,"baba",1.7324
2020-03-11,"baba",48.0281
2020-03-10,"baba",68.2686
2020-03-09,"baba",41.7501
2020-03-06,"baba",67.5042
2020-03-05,"baba",95.624
2020-03-04,"baba",94.2595
2020-03-03,"baba",80.6288
2020-03-02,"baba",87.4561
2020-02-28,"baba",76.0677
2020-02-27,"baba",78.7234
2020-02-26,"baba",94.1556
2020-02-25,"baba",84.4485
2020-02-24,"baba",80.9669
2020-02-21,"baba",114.3429
2020-02-20,"baba",132.694
2020-02-19,"baba",149.8146
2020-02-18,"baba",142.1464
2020-02-14,"baba",145.1601
2020-02-13,"baba",153.8865
2020-02-12,"baba",164.3812
2020-02-11,"baba",143.5962
2020-02-10,"baba",133.8516
2020-02-07,"baba",143.6072
2020-02-06,"baba",167.3214
2020-02-05,"baba",170.5993
2020-02-04,"baba",178.6952
2020-02-03,"baba",136.5034
2020-01-31,"baba",112.3591
2020-01-30,"baba",120.1963
2020-01-29,"baba",140.1941
2020-01-28,"baba",131.0699
2020-01-27,"baba",109.2978
2020-01-24,"baba",160.4414
2020-01-23,"baba",180.6596
2020-01-22,"baba",206.3914
2020-01-21,"baba",203.8694
2020-01-17,"baba",234.101
2020-01-16,"baba",227.1867
2020-01-15,"baba",240.2938
2020-01-14,"baba",254.1123
2020-01-13,"baba",274.0041
2020-01-10,"baba",251.1455
2020-01-09,"baba",246.6124
2020-01-08,"baba",232.7236
2020-01-07,"baba",235.4423
2020-01-06,"baba",230.6863
2020-01-03,"baba",243.0119
2020-01-02,"baba",259.6848
2021-08-13,"tcehy",-199.2553
2021-08-12,"tcehy",-191.4382
2021-08-11,"tcehy",-181.5837
2021-08-10,"tcehy",-184.1902
2021-08-09,"tcehy",-207.7349
2021-08-06,"tcehy",-237.3862
2021-08-05,"tcehy",-245.5942
2021-08-04,"tcehy",-231.8839
2021-08-03,"tcehy",-259.3884
2021-08-02,"tcehy",-211.427
2021-07-30,"tcehy",-214.6923
2021-07-29,"tcehy",-203.1923
2021-07-28,"tcehy",-219.2378
2021-07-27,"tcehy",-260.7891
2021-07-26,"tcehy",-226.3141
2021-07-23,"tcehy",-151.0954
2021-07-22,"tcehy",-117.7518
2021-07-21,"tcehy",-117.8878
2021-07-20,"tcehy",-116.3014
2021-07-19,"tcehy",-113.0398
2021-07-16,"tcehy",-87.9988
2021-07-15,"tcehy",-76.9304
2021-07-14,"tcehy",-83.244
2021-07-13,"tcehy",-94.0584
2021-07-12,"tcehy",-126.0394
2021-07-09,"tcehy",-103.7809
2021-07-08,"tcehy",-134.936
2021-07-07,"tcehy",-106.7186
2021-07-06,"tcehy",-84.755
2021-07-02,"tcehy",-53.233
2021-07-01,"tcehy",-46.052
2021-06-30,"tcehy",-39.243
2021-06-29,"tcehy",-26.0369
2021-06-28,"tcehy",-18.2554
