"time","symbol","OBV"
2020-05-15,"baba",967103572
2020-05-14,"baba",949940138
2020-05-13,"baba",929936613
2020-05-12,"baba",952325735
2020-05-11,"baba",970086487
2020-05-08,"baba",952203767
2020-05-07,"baba",928386467
2020-05-06,"baba",912240908
2020-05-05,"baba",893672544
2020-05-04,"baba",870725840
2020-05-01,"baba",896384060
2020-04-30,"baba",918648931
2020-04-29,"baba",938734417
2020-04-28,"baba",919653869
2020-04-27,"baba",936814191
2020-04-24,"baba",954087108
2020-04-23,"baba",968757918
2020-04-22,"baba",989161044
2020-04-21,"baba",975690967
2020-04-20,"baba",989788557
2020-04-17,"baba",970517900
2020-04-16,"baba",984070363
2020-04-15,"baba",967778562
2020-04-14,"baba",957040307
2020-04-13,"baba",940296830
2020-04-09,"baba",924198740
2020-04-08,"baba",906392668
2020-04-07,"baba",919985572
2020-04-06,"baba",905276515
2020-04-03,"baba",892041784
2020-04-02,"baba",901519784
2020-04-01,"baba",888128876
2020-03-31,"baba",906053681
2020-03-30,"baba",887015120
2020-03-27,"baba",874773581
2020-03-26,"baba",888113512
2020-03-25,"baba",872691494
2020-03-24,"baba",853099698
2020-03-23,"baba",832338329
2020-03-20,"baba",854761762
2020-03-19,"baba",833766551
2020-03-18,"baba",812883216
2020-03-17,"baba",834858730
2020-03-16,"baba",815610582
2020-03-13,"baba",842196711
2020-03-12,"baba",818576672
2020-03-11,"baba",848726490
2020-03-10,"baba",867558615
2020-03-09,"baba",848576157
2020-03-06,"baba",874034632
2020-03-05,"baba",895708765
2020-03-04,"baba",909154015
2020-03-03,"baba",896702402
2020-03-02,"baba",917480133
2020-02-28,"baba",895971928
2020-02-27,"baba",864724040
2020-02-26,"baba",887346570
2020-02-25,"baba",867872391
2020-02-24,"baba",885942120
2020-02-21,"baba",905236496
2020-02-20,"baba",922915449
2020-02-19,"baba",937838607
2020-02-18,"baba",927077791
2020-02-14,"baba",914091308
2020-02-13,"baba",924765600
2020-02-12,"baba",952809523
2020-02-11,"baba",934281777
2020-02-10,"baba",918250417
2020-02-07,"baba",935636911
2020-02-06,"baba",949420489
2020-02-05,"baba",938663141
2020-02-04,"baba",953615299
2020-02-03,"baba",936946140
2020-01-31,"baba",922833869
2020-01-30,"baba",940992669
2020-01-29,"baba",955316231
2020-01-28,"baba",942449358
2020-01-27,"baba",926322960
2020-01-24,"baba",950876614
2020-01-23,"baba",969001704
2020-01-22,"baba",987502830
2020-01-21,"baba",977467570
2020-01-17,"baba",993282961
2020-01-16,"baba",981142881
2020-01-15,"baba",994842567
2020-01-14,"baba",1005568887
2020-01-13,"baba",1022833381
2020-01-10,"baba",1005296302
2020-01-09,"baba",993002260
2020-01-08,"baba",979883648
2020-01-07,"baba",967927374
2020-01-06,"baba",958533704
2020-01-03,"baba",970418845
2020-01-02,"baba",979023269
2021-08-13,"tcehy",10387719
2021-08-12,"tcehy",15375379
2021-08-11,"tcehy",19892195
2021-08-10,"tcehy",16689933
2021-08-09,"tcehy",11662674
2021-08-06,"tcehy",4562593
2021-08-05,"tcehy",-4139455
2021-08-04,"tcehy",3336222
2021-08-03,"tcehy",-2945184
2021-08-02,"tcehy",6625380
2021-07-30,"tcehy",2433845
2021-07-29,"tcehy",8310523
2021-07-28,"tcehy",-340860
2021-07-27,"tcehy",-26395030
2021-07-26,"tcehy",-7194771
2021-07-23,"tcehy",11262351
2021-07-22,"tcehy",16940648
2021-07-21,"tcehy",18700076
2021-07-20,"tcehy",16206793
2021-07-19,"tcehy",18878709
2021-07-16,"tcehy",22363831
2021-07-15,"tcehy",24851516
2021-07-14,"tcehy",21677087
2021-07-13,"tcehy",17577076
2021-07-12,"tcehy",12073794
2021-07-09,"tcehy",15222747
2021-07-08,"tcehy",12333594
2021-07-07,"tcehy",16616326
2021-07-06,"tcehy",21637711
2021-07-02,"tcehy",26079879
2021-07-01,"tcehy",27927091
2021-06-30,"tcehy",29955068
2021-06-29,"tcehy",31952139
2021-06-28,"tcehy",33519464
2021-06-25,"tcehy",34762399
2021-06-24,"tcehy",32364114
2021-06-23,"tcehy",30151511
2021-06-22,"tcehy",28214472
2021-06-21,"tcehy",31091954
2021-06-18,"tcehy",32930726
2021-06-17,"tcehy",34195100
2021-06-16,"tcehy",32310703
2021-06-15,"tcehy",34159736
2021-06-14,"tcehy",35981189
2021-06-11,"tcehy",37458365
2021-06-10,"tcehy",40267632
2021-06-09,"tcehy",36246214
2021-06-08,"tcehy",37690768
2021-06-07,"tcehy",39085504
2021-06-04,"tcehy",40695812
2021-06-03,"tcehy",39572555
2021-06-02,"tcehy",41634339
2021-06-01,"tcehy",42854256
2021-05-28,"tcehy",40509246
2021-05-27,"tcehy",41842817
2021-05-26,"tcehy",43011570
2021-05-25,"tcehy",40490243
2021-05-24,"tcehy",38173848
2021-05-21,"tcehy",36386148
2021-05-20,"tcehy",39687622
2021-05-19,"tcehy",44281681
2021-05-18,"tcehy",47154718
2021-05-17,"tcehy",45285365
2021-05-14,"tcehy",43304415
2021-05-13,"tcehy",40457264
2021-05-12,"tcehy",43087319
2021-05-11,"tcehy",46032952
2021-05-10,"tcehy",44071030
2021-05-07,"tcehy",47267359
2021-05-06,"tcehy",48739852
2021-05-05,"tcehy",50253504
2021-05-04,"tcehy",50253504
